overcom	pdetach	rumin
-1.326447	1.401533	-2.144355
-0.558238	1.051032	-0.389559
-1.749022	1.543685	-1.160572
0.905377	-0.03211	0.893584
-0.688661	-0.044192	-0.089945
1.477141	-2.043454	1.21971
0.275945	-1.148897	0.654926
-1.778888	1.681445	-0.277966
0.699163	-0.876378	0.404864
1.052254	-0.431573	0.470959
0.514126	-0.651247	0.526193
-2.03008	1.100836	-0.156617
1.946767	-1.197877	1.248313
-0.466485	-0.039915	-0.564302
0.70561	-0.110293	0.862241
-1.723516	1.320585	-1.120303
1.827351	-2.26416	-0.051525
0.302823	0.44997	-0.471681
0.78499	-0.459889	0.091847
1.555054	-1.848975	0.556356
0.448566	-0.142538	0.807671
-1.1722	1.030498	-0.272583
-0.539059	0.58327	-0.061777
0.614316	-0.723542	0.413855
-0.733165	0.860013	-0.067933
-0.459134	0.70887	-0.292849
1.143275	-0.820161	-0.425027
0.451296	-0.860842	0.385598
2.539324	-1.360547	1.397337
-1.725991	1.165615	-2.0291
-0.036897	0.914603	-0.47147
0.13948	-0.604427	-0.003128
-0.015196	1.746714	-0.420803
2.267771	-0.87644	-0.491375
0.757176	-0.06279	-0.24699
0.129316	-0.231705	-0.824771
-0.483114	0.567945	-0.414159
-0.573648	0.81145	-0.175334
0.858142	-1.879011	0.02653
1.00539	-0.309262	0.370102
-0.232215	0.455217	-0.769547
-1.171445	0.073198	-0.253153
1.02616	-0.862308	0.763897
-1.54305	1.850222	-1.815271
0.524774	-0.89152	0.042279
-0.974368	-1.045964	-0.543604
0.040784	-0.411869	0.240631
-0.577561	-0.0083	-0.282856
-0.447383	0.350278	-0.241162
-1.130588	0.17671	-0.199828
-0.723628	0.064601	-0.580222
-0.055454	0.589364	-0.01655
-1.166492	-0.186325	-0.584775
-0.119081	0.064582	-0.303264
1.061649	-1.461477	1.176129
1.866334	-1.34369	1.118493
-1.524383	1.533374	0.645588
-0.399618	-0.316541	-0.711787
1.647323	-1.217954	0.899848
-0.842329	0.137993	0.03248
1.619626	-1.278484	2.236317
-1.012831	1.122185	-1.380259
-0.432351	0.849245	0.505695
-1.95317	1.323332	-1.377843
0.141188	0.170538	-0.622814
0.550554	0.190051	0.543144
0.246519	-0.398345	0.619445
0.118974	0.909362	-0.836989
-0.382809	-0.438515	0.450357
1.092015	-1.780213	1.309486
0.722304	-0.311023	1.318477
-1.929174	1.33308	-1.101162
0.593649	0.321869	0.724091
-1.446483	1.444239	-1.800156
-0.856073	0.38919	-0.170082
-1.490226	1.297364	-2.896898
-0.991894	-1.036235	-0.378711
1.054973	-0.858922	0.148527
0.448011	0.825693	-1.19309
0.29957	0.1408	0.386107
0.878672	-0.597077	0.22041
2.150618	-1.459105	1.20212
1.868919	-1.507402	0.582692
-1.557976	1.433021	-1.376195
-0.872707	-0.083987	-1.783618
-0.917305	0.199094	-0.563579
-0.351928	0.768925	-0.406902
-0.060945	-1.130567	-0.107726
-0.779971	0.266536	0.028331
2.034841	-0.791524	1.389849
-0.602783	0.350633	-0.895836
-0.483322	0.838642	-0.648306
0.615878	-0.835548	0.120597
-0.073375	-0.33234	-0.41721
1.218338	-0.104962	-0.012782
-1.089338	0.369258	-0.334935
0.639349	1.546281	-0.611185
0.784002	-0.951512	0.221478
-1.216887	1.906537	-0.783129
2.285779	-1.710488	0.923932
-1.574387	1.083364	-1.724662
0.458589	-0.968969	0.379513
-0.249877	0.623637	-0.799046
-1.973379	1.543158	-1.045483
0.475558	-0.421846	0.586238
-0.37701	-0.220391	-0.084827
0.637256	0.675649	-0.532751
-1.572424	1.302145	-1.358471
0.628757	-0.148111	0.265291
0.083664	-0.922793	1.460255
-1.561005	1.621548	-0.935852
-0.426289	0.195694	-0.672423
0.867887	-1.409465	2.12133
-0.122987	0.715158	-0.940027
-0.190573	1.731887	-1.172343
-0.520635	0.135248	1.0034
0.430484	1.501105	-0.367
-0.191731	0.617305	-0.603298
0.717648	-0.239583	0.465802
-0.452121	-0.025489	-0.408543
-1.092621	0.592479	-0.560733
0.01581	1.181423	-0.407932
-0.429103	0.925143	-0.432079
-1.457779	1.144989	-1.823651
1.835122	-1.257273	2.645741
1.940458	-1.106164	0.95073
0.875737	-1.242372	0.944942
-0.653362	1.633117	-0.444929
-0.769304	1.027664	1.086741
